case,provider,M,k,K,N,num_groups,fused_ms,decomp_ms,speedup,max_relerr,wsel_gib
tiny,cpu,256,1,512,512,8,1.3063555000371707,16.94497040002716,12.971178518822029,0.00028538812785388126,0.125
small-dense,cpu,512,1,768,768,8,4.585781500054509,81.23365770006785,17.714245150821572,0.00048216007714561236,0.5625
small-top2,cpu,512,2,512,512,16,4.271433300073113,72.4847102998865,16.96964583261684,0.00027839643652561246,0.5
medium-dense,cpu,1024,1,768,768,16,9.787884199931796,169.00405040000805,17.266658140600573,0.0004351610095735422,1.125
medium-top2,cpu,512,2,768,768,32,15.021564599874182,187.96763699983785,12.513186342880172,0.00047938638542665386,1.125
large-tokens,cpu,2048,1,512,512,32,10.813621199940826,151.03829339996082,13.967411157400939,0.000544069640914037,1.0
wide-hidden,cpu,256,2,1024,1024,8,9.220203900031265,153.26663060009196,16.622911191754906,0.00035587188612099647,1.0
many-experts,cpu,512,1,512,512,64,9.198895100007576,44.09546019996924,4.7935605005358655,0.00029515938606847696,0.25
