case,provider,M,k,K,N,num_groups,fused_ms,decomp_ms,speedup,max_relerr,wsel_gib
tiny,cpu,256,1,512,512,8,1.013385700116487,16.806660000065676,16.584662678912657,4.5289025152340086e-07,0.25
small-dense,cpu,512,1,768,768,8,3.7592683999719156,78.15571790001741,20.79014041684315,6.47264882208383e-07,1.125
small-top2,cpu,512,2,512,512,16,3.559114999961821,70.97010119991864,19.940378774127822,6.117676775538428e-07,1.0
medium-dense,cpu,1024,1,768,768,16,9.475153799985492,161.76532639997276,17.07258054219874,5.841346067042934e-07,2.25
medium-top2,cpu,512,2,768,768,32,9.838865600113422,178.14455640000233,18.10620895136007,7.021503001868071e-07,2.25
large-tokens,cpu,2048,1,512,512,32,8.651875499981543,152.45993850007835,17.62160568542666,5.314559121779734e-07,2.0
wide-hidden,cpu,256,2,1024,1024,8,7.916631599982793,146.1662649999198,18.463188940134273,6.083157986304378e-07,2.0
many-experts,cpu,512,1,512,512,64,4.532486199923369,42.23648890001641,9.318613899084902,5.042652919530353e-07,0.5
