E,F,M,T,bench,case,fused_lb_ms,fused_ms,k,max_relerr,naive_ms,provider,quickgelu_ms,speedup,swiglu_relerr,unfused_ms
,2048,,512,swiglu,small,0.23505215012846747,,,,,cpu,0.46732390010220115,,0.0,0.46418420015470474
,14336,,1024,swiglu,mixtral-ffn,6.1768657998982235,,,,,cpu,10.90130099983071,,0.0,10.88253430016266
,1408,,2048,swiglu,deepseek-ffn,0.8079313499365526,,,,,cpu,1.979220600151166,,0.0,1.89959830022417
,8192,,1024,swiglu,wide,3.4434101001352246,,,,,cpu,6.018766300167044,,0.0,5.9710580998398655
,4096,,8192,swiglu,many-tokens,14.515131850112084,,,,,cpu,25.31437015004485,,0.0,25.40926514993771
8,,4096,,router,mixtral,,0.32801900006234064,2,1.213632736529435e-07,0.38694514987582806,cpu,,1.1796424896188586,,
64,,4096,,router,deepseek,,1.1490785000205506,6,1.1271185319927335e-07,1.2938709499394463,cpu,,1.1260074485044373,,
128,,4096,,router,switch-many,,0.3432967003391241,1,0.0,0.5844437003361236,cpu,,1.7024448523938143,,
256,,8192,,router,large-experts,,4.715980700257205,8,1.3633617082231435e-07,5.663835749783175,cpu,,1.2009878983334843,,
32,,512,,router,small-batch,,0.1195117997667694,4,7.359388758607265e-08,0.1277487999686855,cpu,,1.0689220664234897,,
