case,provider,M,k,K,N,num_groups,fused_ms,decomp_ms,speedup,max_relerr,wsel_gib
tiny,cpu,256,1,512,512,8,1.0293487000126333,16.9299404999947,16.447235518718696,4.5561551377833887e-07,0.25
small-dense,cpu,512,1,768,768,8,3.7894073000188655,78.88425940000161,20.81704423792314,6.45687004515935e-07,1.125
small-top2,cpu,512,2,512,512,16,3.6549312000261125,71.04295189997174,19.437562025644745,6.021703020579906e-07,1.0
medium-dense,cpu,1024,1,768,768,16,8.29675020004288,161.59235429995533,19.47658425332851,5.82797018791919e-07,2.25
medium-top2,cpu,512,2,768,768,32,10.255354200080546,177.94352589999107,17.351280358370605,6.931568093992063e-07,2.25
large-tokens,cpu,2048,1,512,512,32,9.340466899902822,152.36612039998363,16.31247367319174,5.214496352003533e-07,2.0
wide-hidden,cpu,256,2,1024,1024,8,8.267275300022447,149.06183480002255,18.030346080239738,6.10304787082533e-07,2.0
many-experts,cpu,512,1,512,512,64,5.065216400089412,41.69593459996577,8.231817025473926,5.004642520887055e-07,0.5
